"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"subiendo historias en instagram, me contactó un amigo vzlano que llevaba años sin ver, específicamente un culito qu… https://t.co/U3oI5C4waK",FALSE,1,"ElTraviesoDann",2019-09-24 22:46:20,TRUE,"1176628101960347649","1176628965886308357","138615978","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElTraviesoDann",0,FALSE,FALSE,NA,NA
"Ningún ingeniero en sistemas ha sido presidente del colegio de ingenieros. Me gusta creer que a los de sistemas no… https://t.co/HKq74Uzhxl",FALSE,6,NA,2019-09-24 22:18:36,TRUE,NA,"1176621987000659968",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","chui_k",0,FALSE,FALSE,NA,NA
"RT @Socioempleo_ec: INGENIERO O TECNOLOGO EN SISTEMAS, $394 - $500, PICHINCHA/QUITO, https://t.co/YaIEaCrX00 https://t.co/yuns3zyRyQ",FALSE,0,NA,2019-09-24 21:28:01,FALSE,NA,"1176609254473654277",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mik_r987",1,TRUE,FALSE,NA,NA
"RT @francylorena: Hoy en perfiles: el ingeniero de sistemas Bancolombio.",FALSE,0,NA,2019-09-24 21:26:14,FALSE,NA,"1176608807549640704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","deaderthanadoor",1,TRUE,FALSE,NA,NA
"busco amistades en colombia soy DJ EMPRESARIO INGENIERO DE SISTEMAS FILANTROPO INDEPENDIENTE ROMANTICO SOLTERO Y A… https://t.co/1O0A6VSbSz",FALSE,0,NA,2019-09-24 21:20:24,TRUE,NA,"1176607340386238464",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Darkj99hurtado",0,FALSE,FALSE,NA,NA
"Hoy en perfiles: el ingeniero de sistemas Bancolombio.",FALSE,1,NA,2019-09-24 21:17:14,FALSE,NA,"1176606540322738178",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","francylorena",1,FALSE,FALSE,NA,NA
"RT @ibroker_es: ¿Qué pasa si unimos a un ingeniero de sistemas y un gestor de fondos?
Si te gustan los #Sistemas_Automáticos de #trading
No…",FALSE,0,NA,2019-09-24 20:52:10,FALSE,NA,"1176600233058476033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aguirrebroker",5,TRUE,FALSE,NA,NA
"El Doctorado Interinstitucional en Ciencias Ambientales de la @UnivalleCol, invita a la conferencia ""MÁS QUE UN ING… https://t.co/AF077iG8f9",FALSE,2,NA,2019-09-24 20:50:37,TRUE,NA,"1176599841453084672",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","UVsocioeconomia",0,FALSE,FALSE,NA,NA
"RT @carlosayalahdez: @dfsm20 @caramonm No soy ingeniero de sistemas pero confirmo. Esa parte no se las enseñaron a programar.",FALSE,0,NA,2019-09-24 20:46:24,FALSE,NA,"1176598780759724038",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","caramonm",1,TRUE,FALSE,NA,NA
"INGENIERO O TECNOLOGO EN SISTEMAS, $394 - $500, PICHINCHA/QUITO, https://t.co/YaIEaCrX00 https://t.co/yuns3zyRyQ",FALSE,2,NA,2019-09-24 20:38:52,FALSE,NA,"1176596888084262912",NA,"<a href=""http://www.socioempleo.gob.ec"" rel=""nofollow"">Ofertas Laborales RSE1</a>","Socioempleo_ec",1,FALSE,FALSE,NA,NA
"Si ella es ""ingeniero en sistemas"", yo soy un pinche astrofísico <U+0001F644><U+0001F644><U+0001F644>",FALSE,2,NA,2019-09-24 20:35:57,FALSE,NA,"1176596151144828929",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mr_FirstName",0,FALSE,FALSE,NA,NA
"#android #vacantes Desarrollador Android – Ingeniero en Sistemas (ID: 1652994) https://t.co/IGsMgjNhne #argentina #androidjobs",FALSE,0,NA,2019-09-24 20:23:22,FALSE,NA,"1176592987348000769",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","appsjob",0,FALSE,FALSE,NA,NA
"@jeshuaortiz @Abraham74Cp @Cuauhtemoc_1521 @Subpoeta @PanchoMembrillo @GustavoVela71 @eloycam2012 @YoElResidente… https://t.co/KfQWX3U8HH",FALSE,0,"jeshuaortiz",2019-09-24 19:53:20,TRUE,"1176579912402132993","1176585427760963589","161540218","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","universosmatri1",0,FALSE,FALSE,NA,NA
"RT @PacifiTIC: #Ofertalaboral. Ingeniero de soporte, Cali: Si eres profesional en ingeniería de sistemas o afines y te gusta brindar soport…",FALSE,0,NA,2019-09-24 19:10:45,FALSE,NA,"1176574709732970501",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jomsuarez",1,TRUE,FALSE,NA,NA
"RT @el_pinche_aleex: @BiciManager Soy ingeniero en sistemas, estresado desvelado y #MeMuevoEnBici https://t.co/vv08iBGkcm",FALSE,0,NA,2019-09-24 19:09:13,FALSE,NA,"1176574324628709376",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BiciManager",1,TRUE,FALSE,NA,NA
"RT @DiegoMTroffe: Algun ingeniero en sistemas o desarrollador que necesite trabajo en rosario?. Al privado. 

Compartan people. Capaz que a…",FALSE,0,NA,2019-09-24 19:08:58,FALSE,NA,"1176574261529587712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MLAlonso1012",276,TRUE,FALSE,NA,NA
"@BiciManager Soy ingeniero en sistemas, estresado desvelado y #MeMuevoEnBici https://t.co/vv08iBGkcm",FALSE,16,"BiciManager",2019-09-24 19:08:24,FALSE,"1176571188241416192","1176574121515343874","727155425112543232","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","el_pinche_aleex",1,FALSE,FALSE,NA,NA
"RT @STPS_mx: <U+0001F50E> #OfertaDeEmpleo | Se solicita Ingeniero en Sistemas-Arquitecto de Sistemas para trabajar en Canadá  <U+0001F1E8><U+0001F1E6>.

<U+0001F4F2> Conoce los requis…",FALSE,0,NA,2019-09-24 19:06:16,FALSE,NA,"1176573581825720320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mxico63543967",7,TRUE,FALSE,NA,NA
"RT @DiegoMTroffe: Algun ingeniero en sistemas o desarrollador que necesite trabajo en rosario?. Al privado. 

Compartan people. Capaz que a…",FALSE,0,NA,2019-09-24 18:46:17,FALSE,NA,"1176568553987817473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","celinariosok",276,TRUE,FALSE,NA,NA
