"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Buscamos: #Controller Financiero para empresa del sector #telecomunicaciones, con experiencia previa superior a 3 a… https://t.co/OjSX9Tlec5",FALSE,0,NA,2019-08-11 11:36:00,TRUE,NA,"1160515202472972288",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","EspanaFed",0,FALSE,FALSE,NA,NA
"Se necesita técnico en telecomunicaciones https://t.co/b0VPXwG9IZ ciudad Concepción #trabajo #empleo",FALSE,0,NA,2019-08-11 07:46:01,FALSE,NA,"1160457328027668480",NA,"<a href=""http://www.chiletrabajos.cl/"" rel=""nofollow"">chiletrabajos</a>","cht_informatica",0,FALSE,FALSE,NA,NA
"RT @lethal_words: @GiorgioJackson @nmonckeberg @sebastianpinera Gobierno solo defienda la precarización del empleo. La cuál viene principal…",FALSE,0,NA,2019-08-11 02:38:26,FALSE,NA,"1160379919890825216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ancorosa",2,TRUE,FALSE,NA,NA
"RT @lethal_words: @GiorgioJackson @nmonckeberg @sebastianpinera Gobierno solo defienda la precarización del empleo. La cuál viene principal…",FALSE,0,NA,2019-08-11 00:58:49,FALSE,NA,"1160354852557529093",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lromer2016",2,TRUE,FALSE,NA,NA
"@GiorgioJackson @nmonckeberg @sebastianpinera Gobierno solo defienda la precarización del empleo. La cuál viene pri… https://t.co/Kf466qH5tF",FALSE,3,"GiorgioJackson",2019-08-11 00:12:37,TRUE,"1160341963830439936","1160343223312814080","59215690","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lethal_words",2,FALSE,FALSE,NA,NA
"Dependiente/a Telecomunicaciones
#trabajo #empleo #Murcia #trabajomurcia
Inscríbete aquí <U+0001F449> https://t.co/Tl7YZaauhW",FALSE,0,NA,2019-08-10 16:57:00,FALSE,NA,"1160233598944980993",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","EmpleoMurcia",0,FALSE,FALSE,NA,NA
"Buscamos: Recolectores de equipos de telecomunicaciones, en #CDMX #empleo #trabajo #méxico #felizsabado https://t.co/LLVE3eERF2",FALSE,0,NA,2019-08-10 16:30:02,FALSE,NA,"1160226809998446592",NA,"<a href=""http://tusempleos.com"" rel=""nofollow"">tusempleos</a>","tusEmpleos",0,FALSE,FALSE,NA,NA
"RT @cht_informatica: Se necesita técnico en telecomunicaciones https://t.co/b0VPXwG9IZ ciudad Concepción #trabajo #empleo",FALSE,0,NA,2019-08-10 02:52:27,FALSE,NA,"1160021061796339718",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BorquezRosario",1,TRUE,FALSE,NA,NA
"Empleo: Ayudante de técnico de cableado telecomunicaciones, en #BajaCalifornia #empleo #trabajo #méxico… https://t.co/51NvUjxZB8",FALSE,0,NA,2019-08-10 02:30:02,TRUE,NA,"1160015417592729600",NA,"<a href=""http://tusempleos.com"" rel=""nofollow"">tusempleos</a>","tusEmpleos",0,FALSE,FALSE,NA,NA
"Se necesita técnico en telecomunicaciones https://t.co/b0VPXwG9IZ ciudad Concepción #trabajo #empleo",FALSE,0,NA,2019-08-10 00:46:01,FALSE,NA,"1159989243336429568",NA,"<a href=""http://www.chiletrabajos.cl/"" rel=""nofollow"">chiletrabajos</a>","cht_informatica",1,FALSE,FALSE,NA,NA
