"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","sentiment"
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"9/07/2019 3:53","FALSE",NA,"1,14844E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cecs2011E","34","TRUE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"9/07/2019 3:49","FALSE",NA,"1,14844E+18",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cocopauli","34","TRUE",FALSE,NA,NA,-1
"@DanielPBayona @camilacasp89 @petrogustavo @IvanDuque @angelamrobledo @IvanCepedaCast @AidaAvellaE @GNavasTalero… https://t.co/ekNulTx01j","FALSE","0","DanielPBayona","9/07/2019 3:49","TRUE","1,14828E+18","1,14844E+18","1113237756","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JanyAnderson","0","FALSE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"9/07/2019 3:38","FALSE",NA,"1,14844E+18",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fjaramillocala","34","TRUE",FALSE,NA,NA,-1
"@camilacasp89 @Oscaryesidpere4 @petrogustavo @IvanDuque @angelamrobledo @IvanCepedaCast @AidaAvellaE @GNavasTalero… https://t.co/F7cI71rsku","FALSE","0","camilacasp89","9/07/2019 3:24","TRUE","1,14826E+18","1,14843E+18","2448357767","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Defoulez","0","FALSE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"9/07/2019 3:20","FALSE",NA,"1,14843E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Valmir51789906","34","TRUE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"9/07/2019 2:59","FALSE",NA,"1,14843E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JorgeAl96946832","34","TRUE",FALSE,NA,NA,-1
"RT @rcnradio: ¿Está buscando trabajo? En Antioquia hay más de 36 mil vacantes de empleo https://t.co/6jv62GWKkl","FALSE","0",NA,"9/07/2019 2:41","FALSE",NA,"1,14842E+18",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mapicama","7","TRUE",FALSE,NA,NA,-1
"Es desbordada la inmigración nada comparada con la de Colombia allá además no tenemos capacidad ni fuentes de emple… https://t.co/dpeLCD4jcz","FALSE","0",NA,"9/07/2019 2:28","TRUE",NA,"1,14842E+18",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pulquerrimo","0","FALSE",FALSE,NA,NA,-1
"#TiendasD1llegaamil","","","","","","","","","","","","",NA,NA,NA,-1
